Rank_Bins,Non_Relevant_Percent,Relevant_Percent,Highly_Relevant_Percent,Non_Relevant_Count,Relevant_Count,Highly_Relevant_Count
1-10,7.883817427385892,15.767634854771783,76.34854771784232,38,76,368
11-20,15.126050420168067,16.386554621848738,68.4873949579832,72,78,326
21-30,22.174840085287848,16.417910447761194,61.407249466950965,104,77,288
31-40,22.844827586206897,16.810344827586206,60.3448275862069,106,78,280
41-50,22.026431718061673,17.400881057268723,60.57268722466961,100,79,275
51-60,27.539503386004515,16.478555304740404,55.98194130925508,122,73,248
61-70,25.05694760820046,17.76765375854214,57.1753986332574,110,78,251
71-80,27.610208816705335,20.649651972157773,51.74013921113689,119,89,223
81-90,29.832935560859188,21.241050119331742,48.92601431980907,125,89,205
91-100,31.203931203931205,21.375921375921376,47.420147420147416,127,87,193
101-110,36.17571059431525,14.987080103359174,48.837209302325576,140,58,189
111-120,31.092436974789916,20.72829131652661,48.17927170868347,111,74,172
121-130,34.0,19.714285714285715,46.285714285714285,119,69,162
131-140,32.01058201058201,23.28042328042328,44.70899470899471,121,88,169
141-150,28.997289972899733,20.867208672086722,50.135501355013545,107,77,185
151-160,36.53846153846153,18.681318681318682,44.78021978021978,133,68,163
161-170,29.652996845425868,20.82018927444795,49.52681388012618,94,66,157
171-180,29.761904761904763,19.940476190476193,50.297619047619044,100,67,169
181-190,33.126934984520126,24.458204334365323,42.414860681114554,107,79,137
191-200,32.432432432432435,21.32132132132132,46.246246246246244,108,71,154
201-210,32.362459546925564,29.449838187702266,38.18770226537217,100,91,118
211-220,32.20858895705521,19.018404907975462,48.77300613496933,105,62,159
221-230,37.37024221453287,17.99307958477509,44.636678200692046,108,52,129
231-240,32.280701754385966,21.75438596491228,45.96491228070175,92,62,131
241-250,37.41721854304636,20.52980132450331,42.05298013245033,113,62,127
251-260,33.81294964028777,26.258992805755394,39.92805755395683,94,73,111
261-270,41.27659574468085,19.148936170212767,39.57446808510638,97,45,93
271-280,35.797665369649806,19.844357976653697,44.3579766536965,92,51,114
