Rank,Summed_Relevance_Score
1,23.0
2,24.5
3,26.5
4,20.5
5,21.5
6,23.5
7,19.0
8,23.0
9,24.0
10,15.5
11,12.5
12,16.0
13,16.5
14,18.5
15,18.0
16,19.0
17,17.5
18,13.0
19,14.5
20,17.0
21,19.5
22,20.0
23,15.0
24,15.0
25,23.5
26,15.0
27,15.5
28,15.0
29,13.0
30,15.0
31,15.5
32,12.5
33,12.5
34,11.0
35,13.5
36,13.0
37,12.5
38,16.5
39,16.5
40,15.0
41,15.5
42,14.0
43,15.0
44,12.0
45,18.5
46,13.5
47,14.0
48,12.0
49,16.0
50,8.5
51,11.5
52,13.5
53,10.5
54,9.5
55,12.0
56,9.5
57,14.5
58,18.5
59,13.5
60,13.5
61,10.0
62,12.0
63,12.5
64,11.0
65,9.0
66,8.5
67,8.5
68,12.5
69,10.5
70,9.0
71,9.5
72,11.0
73,12.0
74,13.5
75,16.0
76,14.0
77,13.0
78,10.5
79,15.0
80,13.0
81,11.5
82,9.5
83,10.5
84,10.0
85,13.5
86,11.5
87,12.0
88,12.5
89,12.5
90,10.0
91,11.0
92,8.5
93,11.5
94,12.0
95,14.0
96,11.0
97,13.0
98,12.0
99,12.5
100,9.0
101,12.5
102,9.0
103,13.5
104,10.5
105,14.5
106,11.0
107,13.0
108,10.0
109,10.0
110,6.5
111,13.0
112,6.0
113,8.0
114,9.0
115,7.0
116,7.0
117,11.0
118,14.5
119,12.5
120,8.5
121,14.5
122,11.0
123,9.0
124,11.0
125,9.5
126,8.5
127,11.0
128,4.5
129,5.0
130,5.0
131,8.0
132,7.5
133,9.0
134,8.0
135,6.0
136,8.5
137,10.0
138,10.5
139,10.0
140,8.0
141,12.0
142,8.5
143,8.5
144,7.5
145,10.0
146,9.0
147,7.5
148,7.5
149,11.0
150,13.0
151,9.0
152,9.5
153,6.5
154,10.5
155,10.0
156,6.0
157,12.0
158,12.0
159,9.0
160,11.5
161,8.0
162,11.5
163,9.5
164,6.5
165,8.0
166,9.0
167,12.0
168,8.0
169,5.0
170,9.5
171,10.5
172,9.5
173,11.0
174,9.0
175,10.0
176,10.0
177,11.0
178,7.0
179,9.5
180,10.0
181,8.0
182,9.0
183,6.0
184,5.5
185,9.0
186,8.5
187,7.5
188,6.0
189,8.5
190,10.0
191,7.5
192,7.0
193,5.5
194,6.5
195,9.5
196,5.0
197,8.0
198,11.5
199,8.0
200,10.5
201,7.0
202,5.0
203,8.5
204,5.5
205,6.5
206,11.0
207,11.5
208,9.0
209,7.5
210,10.0
211,9.5
212,5.5
213,7.0
214,7.0
215,9.5
216,6.5
217,8.0
218,8.5
219,9.5
220,8.5
221,10.0
222,10.0
223,8.0
224,6.5
225,9.0
226,6.5
227,4.0
228,8.5
229,6.5
230,9.0
231,6.0
232,9.0
233,10.0
234,10.0
235,10.5
236,10.5
237,6.0
238,5.5
239,10.0
240,7.0
241,9.5
242,5.0
243,6.0
244,10.0
245,6.0
246,7.0
247,4.0
248,4.0
249,2.5
250,7.0
251,6.0
252,3.5
253,6.5
254,2.5
255,6.5
256,5.0
257,6.5
258,12.0
259,7.0
260,4.5
261,6.0
262,9.5
263,9.5
264,10.5
265,5.5
266,8.0
267,10.0
268,5.5
269,7.0
270,7.5
271,8.5
272,6.0
273,2.0
274,6.5
275,5.5
276,4.5
277,2.5
278,5.5
279,8.0
280,5.0
281,4.5
282,7.5
283,4.5
284,4.0
285,9.0
286,8.5
287,7.5
288,5.5
289,5.0
290,2.5
291,3.0
292,4.5
293,3.5
294,3.0
295,4.5
296,4.5
297,7.5
298,5.0
299,5.5
300,6.0
301,5.0
302,6.0
303,6.5
304,5.5
305,6.5
306,7.0
307,3.5
308,5.0
309,3.0
310,3.5
311,5.5
312,5.0
313,5.5
314,8.5
315,8.5
316,5.5
317,5.0
318,7.5
319,7.5
320,6.0
321,7.0
322,3.5
323,7.0
324,5.0
325,6.5
326,6.5
327,4.5
328,1.5
329,5.5
330,4.5
331,5.0
332,5.0
333,2.0
334,7.5
335,3.0
336,6.0
337,6.0
338,8.0
339,10.0
340,6.5
341,7.0
342,7.5
343,4.0
344,9.0
345,8.5
346,4.0
347,6.0
348,5.0
349,5.5
350,4.0
351,5.0
352,8.0
353,6.0
354,3.0
355,6.0
356,5.5
357,4.5
358,4.0
359,4.0
360,6.0
361,3.5
362,4.0
363,5.5
364,5.0
365,2.5
366,6.0
367,5.0
368,5.0
369,4.5
370,4.5
371,3.5
372,4.5
373,4.5
374,6.5
375,4.5
376,5.5
377,5.5
378,6.5
379,6.0
380,6.0
381,6.0
382,6.0
383,5.5
384,5.5
385,5.0
386,8.0
387,1.0
388,7.0
389,4.0
390,4.0
391,6.5
392,6.0
393,5.0
394,3.5
395,6.0
396,3.0
397,3.5
398,3.0
399,5.0
400,2.5
401,4.5
402,5.0
403,4.0
404,5.0
405,6.0
406,5.0
407,4.0
408,4.5
409,3.5
410,6.5
411,3.0
412,6.0
413,4.5
414,5.0
415,7.0
416,4.0
417,0.0
418,5.5
419,8.5
420,4.0
421,5.0
422,3.0
423,2.5
424,2.5
425,3.0
426,4.0
427,5.0
428,4.0
429,6.5
430,5.0
431,5.0
432,5.5
433,4.5
434,3.0
435,4.5
436,6.5
437,6.0
438,3.0
439,4.0
440,4.0
441,6.0
442,3.5
443,3.5
444,10.5
445,5.0
446,3.5
447,6.5
448,4.0
449,6.5
450,4.0
451,5.0
452,2.5
453,4.5
454,5.0
455,3.5
456,4.5
457,4.5
458,6.5
459,4.5
460,8.0
461,5.0
462,2.5
463,3.0
464,5.0
465,3.0
466,4.5
467,4.0
468,7.0
469,2.5
470,2.0
471,3.0
472,4.0
473,0.5
474,3.0
475,0.5
476,1.5
477,5.5
478,2.5
479,5.5
480,7.5
481,5.5
482,4.5
483,3.5
484,3.0
485,2.0
486,3.0
487,3.0
488,3.0
489,6.5
490,6.5
491,3.0
492,5.0
493,3.5
494,4.0
495,2.5
