Rank_Bins,Non_Relevant,Relevant,Highly_Relevant,Not_in_QREL
1-10,38,76,368,18
11-20,72,78,326,24
21-30,104,77,288,31
31-40,106,78,280,36
41-50,100,79,275,46
51-60,122,73,248,57
61-70,110,78,251,61
71-80,119,89,223,69
81-90,125,89,205,81
91-100,127,87,193,93
101-110,140,58,189,113
111-120,111,74,172,143
121-130,119,69,162,150
131-140,121,88,169,122
141-150,107,77,185,131
151-160,133,68,163,136
161-170,94,66,157,183
171-180,100,67,169,164
181-190,107,79,137,177
191-200,108,71,154,167
201-210,100,91,118,191
211-220,105,62,159,174
221-230,108,52,129,211
231-240,92,62,131,215
241-250,113,62,127,198
251-260,94,73,111,222
261-270,97,45,93,265
271-280,92,51,114,243
281-290,92,56,111,241
291-300,110,55,102,233
301-310,82,55,116,247
311-320,75,52,93,280
321-330,88,62,83,267
331-340,88,48,98,266
341-350,104,48,99,249
351-360,97,34,96,273
361-370,95,41,92,272
371-380,98,46,82,274
381-390,81,48,65,306
391-400,92,46,80,282
401-410,79,51,79,291
411-420,74,45,78,303
421-430,79,43,66,312
431-440,85,39,74,302
441-450,66,49,70,315
451-460,83,44,59,314
461-470,76,43,79,302
471-480,62,41,69,328
481-490,72,30,79,319
491-500,72,33,69,326
501-510,66,40,72,322
511-520,62,36,69,333
521-530,74,50,60,316
531-540,62,38,54,346
541-550,80,47,52,321
551-560,54,43,57,346
561-570,62,32,69,337
571-580,79,29,44,348
581-590,59,41,50,350
591-600,58,23,50,369
601-610,67,29,52,352
611-620,65,34,42,359
621-630,75,34,41,350
631-640,66,31,39,364
641-650,56,41,50,353
651-660,55,35,46,364
661-670,56,31,49,364
671-680,59,32,35,374
681-690,69,37,32,362
691-700,70,25,38,367
701-710,48,24,42,386
711-720,63,34,34,369
721-730,56,38,28,378
731-740,50,26,30,394
741-750,54,29,38,379
751-760,64,20,39,377
761-770,63,18,34,385
771-780,47,32,29,392
781-790,50,21,28,401
791-800,54,30,29,387
801-810,50,25,29,396
811-820,59,25,40,376
821-830,60,21,28,391
831-840,51,18,34,397
841-850,55,25,36,383
851-860,48,24,35,393
861-870,53,20,34,393
871-880,62,23,23,392
881-890,50,29,31,390
891-900,44,25,32,399
901-910,41,23,31,405
911-920,63,23,24,390
921-930,49,20,32,399
931-940,52,19,25,404
941-950,41,21,29,409
951-960,54,16,19,411
961-970,56,17,19,408
971-980,46,13,25,416
981-990,45,28,24,403
991-1000,36,22,25,417
