number,query,question,narrative,MESH_wide_search,MESH_refine_search
1,coronavirus origin,what is the origin of COVID-19,"seeking range of information about the SARS-CoV-2 virus's origin, including its evolution, animal source, and first transmission into humans",COVID-19  SARS-CoV-2  Betacoronavirus  Coronavirus Infections  Zoonoses  Evolution Molecular  Disease Reservoirs ,COVID-19  SARS-CoV-2  Betacoronavirus  Zoonoses  Evolution Molecular 
2,coronavirus response to weather changes,how does the coronavirus respond to changes in the weather,seeking range of information about the SARS-CoV-2 virus viability in different weather/climate conditions as well as information related to transmission of the virus in different climate conditions,COVID-19  SARS-CoV-2  Betacoronavirus  Climate  Humidity  Temperature ,COVID-19  SARS-CoV-2  Climate  Temperature 
3,coronavirus immunity,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,seeking studies of immunity developed due to infection with SARS-CoV2 or cross protection gained due to infection with other coronavirus types,COVID-19  SARS-CoV-2  Immunity  Cross Protection  Betacoronavirus ,COVID-19  SARS-CoV-2  Immunity  Cross Protection 
4,how do people die from the coronavirus,what causes death from Covid-19?,Studies looking at mechanisms of death from Covid-19.,COVID-19  SARS-CoV-2  Mortality  Respiratory Distress Syndrome  Sepsis ,COVID-19  SARS-CoV-2  Mortality  Respiratory Distress Syndrome 
5,animal models of COVID-19,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,Papers that describe the results  of testing drugs that bind to spike proteins of the virus or any other drugs in any animal models. Papers about SARS-CoV-2 infection in cell culture assays are also relevant.,COVID-19  SARS-CoV-2  Betacoronavirus  Disease Models Animal  Drug Evaluation Preclinical ,COVID-19  SARS-CoV-2  Disease Models Animal  Drug Evaluation Preclinical 
6,coronavirus test rapid testing,what types of rapid testing for Covid-19 have been developed?,Looking for studies identifying ways to diagnose Covid-19 more rapidly.,COVID-19  SARS-CoV-2  Point-of-Care Testing  Diagnostic Techniques and Procedures ,COVID-19  SARS-CoV-2  Point-of-Care Testing  Diagnostic Techniques and Procedures 
7,serological tests for coronavirus,are there serological tests that detect antibodies to coronavirus?,Looking for assays that measure immune response to COVID-19 that will help determine past infection and subsequent possible immunity.,COVID-19  SARS-CoV-2  Serologic Tests  Antibodies  Immunoassay ,COVID-19  SARS-CoV-2  Serologic Tests  Immunoassay 
8,coronavirus under reporting,how has lack of testing availability led to underreporting of true incidence of Covid-19?,Looking for studies answering questions of impact of lack of complete testing for Covid-19 on incidence and prevalence of Covid-19.,COVID-19  SARS-CoV-2  Incidence  Prevalence  Disease Notification ,COVID-19  SARS-CoV-2  Incidence  Prevalence  Disease Notification 
9,coronavirus in Canada,how has COVID-19 affected Canada,"seeking data related to infections (confirm, suspected, and projected) and health outcomes (symptoms, hospitalization, intensive care, mortality)",COVID-19  SARS-CoV-2  Canada  Epidemiology  Hospitalization ,COVID-19  SARS-CoV-2  Canada  Epidemiology 
10,coronavirus social distancing impact,has social distancing had an impact on slowing the spread of COVID-19?,seeking specific information on studies that have measured COVID-19's transmission in one or more social distancing (or non-social distancing) approaches,COVID-19  SARS-CoV-2  Social Distancing  Disease Transmission Infectious  Communicable Disease Control ,COVID-19  SARS-CoV-2  Social Distancing  Communicable Disease Control 
11,coronavirus hospital rationing,what are the guidelines for triaging patients infected with coronavirus?,"Seeking information on any guidelines for prioritizing COVID-19 patients infected with coronavirus based on demographics, clinical signs, serology and other tests.",COVID-19  SARS-CoV-2  Triage  Resource Allocation  Guidelines as Topic ,COVID-19  SARS-CoV-2  Triage  Resource Allocation 
12,coronavirus quarantine,what are best practices in hospitals and at home in maintaining quarantine?,Seeking information on best practices for activities and duration of quarantine for those exposed and/ infected to COVID-19 virus.,COVID-19  SARS-CoV-2  Quarantine  Infection Control  Isolation ,COVID-19  SARS-CoV-2  Quarantine  Infection Control 
13,how does coronavirus spread,what are the transmission routes of coronavirus?,"Looking for information on all possible ways to contract COVID-19 from people, animals and objects",COVID-19  SARS-CoV-2  Disease Transmission Infectious  Aerosols  Fomites ,COVID-19  SARS-CoV-2  Disease Transmission Infectious  Aerosols 
14,coronavirus super spreaders,what evidence is there related to COVID-19 super spreaders,"seeking range of information related to the number and proportion of super spreaders, their patterns of behavior that lead to spread, and potential prevention strategies targeted specifically toward super spreaders",COVID-19  SARS-CoV-2  Disease Transmission Infectious  Population Surveillance ,COVID-19  SARS-CoV-2  Disease Transmission Infectious  Population Surveillance 
15,coronavirus outside body,how long can the coronavirus live outside the body,"seeking range of information on the SARS-CoV-2's virus's survival in different environments (surfaces, liquids, etc.) outside the human body while still being viable for transmission to another human",COVID-19  SARS-CoV-2  Virus Survival  Environmental Microbiology ,COVID-19  SARS-CoV-2  Virus Survival  Environmental Microbiology 
16,how long does coronavirus survive on surfaces,how long does coronavirus remain stable  on surfaces?,"Studies of time SARS-CoV-2 remains stable after being deposited from an infected person on everyday surfaces in a household or hospital setting, such as through coughing or touching objects.",COVID-19  SARS-CoV-2  Virus Survival  Fomites  Surface Properties ,COVID-19  SARS-CoV-2  Virus Survival  Fomites 
17,coronavirus clinical trials,are there any clinical trials available for the coronavirus,seeking specific COVID-19 clinical trials ranging from trials in recruitment to completed trials with results,COVID-19  SARS-CoV-2  Clinical Trials as Topic  Clinical Trial  Therapeutics ,COVID-19  SARS-CoV-2  Clinical Trials as Topic  Therapeutics 
18,masks prevent coronavirus,what are the best masks for preventing infection by Covid-19?,What types of masks should or should not be used to prevent infection by Covid-19?,COVID-19  SARS-CoV-2  Masks  Protective Clothing  Infection Control ,COVID-19  SARS-CoV-2  Masks  Infection Control 
19,what alcohol sanitizer kills coronavirus,what type of hand sanitizer is needed to destroy Covid-19?,Studies assessing chemicals and their concentrations needed to destroy the Covid-19 virus.,COVID-19  SARS-CoV-2  Hand Sanitizers  Ethanol  Disinfectants ,COVID-19  SARS-CoV-2  Hand Sanitizers  Ethanol 
