"number","query","question","narrative","qe_wide_search","qe_refine_search"
"1","coronavirus origin","what is the origin of COVID-19","seeking range of information about the SARS-CoV-2 virus's origin, including its evolution, animal source, and first transmission into humans","coronavirus sars-cov-2 origin evolution animal reservoir spillover zoonosis patient-zero","covid-19 origin sars-cov-2 zoonosis reservoir evolution"
"2","coronavirus response to weather changes","how does the coronavirus respond to changes in the weather","seeking range of information about the SARS-CoV-2 virus viability in different weather/climate conditions as well as information related to transmission of the virus in different climate conditions","coronavirus sars-cov-2 climate temperature humidity seasonality transmission viability","covid-19 sars-cov-2 climate temperature seasonality transmission"
"3","coronavirus immunity","will SARS-CoV2 infected people develop immunity? Is cross protection possible?","seeking studies of immunity developed due to infection with SARS-CoV2 or cross protection gained due to infection with other coronavirus types","coronavirus sars-cov-2 immunity cross-protection neutralizing-antibodies reinfection adaptive-response","covid-19 immunity cross-protection neutralizing-antibodies reinfection"
"4","how do people die from the coronavirus","what causes death from Covid-19?","Studies looking at mechanisms of death from Covid-19.","covid-19 fatality pathophysiology acute-respiratory-distress cytokine-storm multi-organ-failure","covid-19 death pathophysiology cytokine-storm multi-organ-failure"
"5","animal models of COVID-19","what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?","Papers that describe the results of testing drugs that bind to spike proteins of the virus or any other drugs in any animal models. Papers about SARS-CoV-2 infection in cell culture assays are also relevant.","covid-19 sars-cov-2 animal-models experimental-therapeutics spike-inhibitors cell-culture preclinical-studies","covid-19 animal-models sars-cov-2 spike-inhibitors preclinical-therapeutics"
"6","coronavirus test rapid testing","what types of rapid testing for Covid-19 have been developed?","Looking for studies identifying ways to diagnose Covid-19 more rapidly.","coronavirus rapid-test lateral-flow antigen pcr point-of-care diagnostics","covid-19 rapid-test lateral-flow antigen pcr diagnostics"
"7","serological tests for coronavirus","are there serological tests that detect antibodies to coronavirus?","Looking for assays that measure immune response to COVID-19 that will help determine past infection and subsequent possible immunity.","serological-tests covid-19 antibody igg igm immune-response diagnostics","covid-19 serology igg igm immune-response antibody-test"
"8","coronavirus under reporting","how has lack of testing availability led to underreporting of true incidence of Covid-19?","Looking for studies answering questions of impact of lack of complete testing for Covid-19 on incidence and prevalence of Covid-19.","underreporting covid-19 incomplete-testing incidence prevalence asymptomatic-cases detection-bias","covid-19 underreporting testing-gap incidence asymptomatic-cases"
"9","coronavirus in Canada","how has COVID-19 affected Canada","seeking data related to infections (confirm, suspected, and projected) and health outcomes (symptoms, hospitalization, intensive care, mortality)","covid-19 canada infections hospitalization mortality icu outbreaks epidemiology","covid-19 canada incidence mortality hospitalization"
"10","coronavirus social distancing impact","has social distancing had an impact on slowing the spread of COVID-19?","seeking specific information on studies that have measured COVID-19's transmission in one or more social distancing (or non-social distancing) approaches","covid-19 social-distancing transmission reduction r0 mitigation measures","covid-19 social-distancing impact transmission r0"
"11","coronavirus hospital rationing","what are the guidelines for triaging patients infected with coronavirus?","Seeking information on any guidelines for prioritizing COVID-19 patients infected with coronavirus based on demographics, clinical signs, serology and other tests.","covid-19 triage guidelines hospital rationing patient-prioritization severity-scoring","covid-19 triage guidelines severity-scoring rationing"
"12","coronavirus quarantine","what are best practices in hospitals and at home in maintaining quarantine?","Seeking information on best practices for activities and duration of quarantine for those exposed and/or infected to COVID-19 virus.","covid-19 quarantine best-practices isolation home-care hospital-protocols","covid-19 quarantine practices isolation duration protocols"
"13","how does coronavirus spread","what are the transmission routes of coronavirus?","Looking for information on all possible ways to contract COVID-19 from people, animals and objects","covid-19 transmission aerosol droplets fomites close-contact zoonotic spread","covid-19 transmission aerosols droplets fomites close-contact"
"14","coronavirus super spreaders","what evidence is there related to COVID-19 super spreaders","seeking range of information related to the number and proportion of super spreaders, their patterns of behavior that lead to spread, and potential prevention strategies targeted specifically toward super spreaders","covid-19 super-spreader events cluster-transmission high-risk individuals prevention-strategies","covid-19 super-spreader cluster-transmission high-risk"
"15","coronavirus outside body","how long can the coronavirus live outside the body","seeking range of information on the SARS-CoV-2 virus's survival in different environments (surfaces, liquids, etc.) outside the human body while still being viable for transmission to another human","sars-cov-2 surface-stability viability environment survival external transmission-risk","covid-19 surface-stability viability environment survival"
"16","how long does coronavirus survive on surfaces","how long does coronavirus remain stable on surfaces?","Studies of time SARS-CoV-2 remains stable after being deposited from an infected person on everyday surfaces in a household or hospital setting, such as through coughing or touching objects.","sars-cov-2 surface stability longevity household hospital environment viability","covid-19 surface stability longevity viability"
"17","coronavirus clinical trials","are there any clinical trials available for the coronavirus","seeking specific COVID-19 clinical trials ranging from trials in recruitment to completed trials with results","covid-19 clinical-trials recruitment interventions study-results therapeutics","covid-19 clinical-trials interventions recruitment results"
"18","masks prevent coronavirus","what are the best masks for preventing infection by Covid-19?","What types of masks should or should not be used to prevent infection by Covid-19?","masks covid-19 n95 surgical cloth filtration respiratory-protection","covid-19 n95 surgical-mask cloth-mask respiratory-protection"
"19","what alcohol sanitizer kills coronavirus","what type of hand sanitizer is needed to destroy Covid-19?","Studies assessing chemicals and their concentrations needed to destroy the Covid-19 virus.","alcohol-based hand-sanitizer ethanol isopropanol disinfectant concentration virucidal","hand-sanitizer ethanol isopropanol virucidal disinfectant"
"20","coronavirus and ACE inhibitors","are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?","Looking for information on interactions between coronavirus and angiotensin converting enzyme 2 (ACE2) receptors, risk for patients taking these medications, and recommendations for these patients.","ace-inhibitors covid-19 ace2 receptor interaction risk guidance hypertensive-patients","covid-19 ace2 ace-inhibitors risk guidance"
"21","coronavirus mortality","what are the mortality rates overall and in specific populations","Seeking information on COVID-19 fatality rates in different countries and in different population groups based on gender, blood types, or other factors","covid-19 mortality fatality-rate demographics comorbidities international-comparison","covid-19 mortality rates demographics comorbidities"
"22","coronavirus heart impacts","are cardiac complications likely in patients with COVID-19?","Seeking information on the types, frequency and mechanisms of cardiac complications caused by coronavirus.","covid-19 cardiac-complications myocarditis arrhythmia cardiovascular-risk troponin","covid-19 cardiac-complications myocarditis arrhythmia"
"23","coronavirus hypertension","what kinds of complications related to COVID-19 are associated with hypertension?","seeking specific outcomes that hypertensive (any type) patients are more/less likely to face if infected with the virus","covid-19 hypertension risk severe-outcomes mortality blood-pressure control","covid-19 hypertension severe-outcomes mortality"
"24","coronavirus diabetes","what kinds of complications related to COVID-19 are associated with diabetes","seeking specific outcomes that diabetic (any type) patients are more/less likely to face if infected with the virus","covid-19 diabetes risk hyperglycemia severe-disease morbidity mortality","covid-19 diabetes severe-disease hyperglycemia mortality"
"25","coronavirus biomarkers","which biomarkers predict the severe clinical course of 2019-nCOV infection?","Looking for information on biomarkers that predict disease outcomes in people infected with coronavirus, specifically those that predict severe and fatal outcomes.","covid-19 biomarkers severity crp il-6 d-dimer ferritin prognosis","covid-19 severe-outcome biomarkers crp il-6 d-dimer"
"26","coronavirus early symptoms","what are the initial symptoms of Covid-19?","Studies of patients and the first clinical manifestations they develop upon active infection?","covid-19 early-symptoms fever cough anosmia sore-throat headache clinical-onset","covid-19 initial-symptoms fever cough anosmia"
"27","coronavirus asymptomatic","what is known about those infected with Covid-19 but are asymptomatic?","Studies of people who are known to be infected with Covid-19 but show no symptoms?","covid-19 asymptomatic carriers silent-transmission pre-symptomatic detection testing","covid-19 asymptomatic carriers silent-transmission detection"
"28","coronavirus hydroxychloroquine","what evidence is there for the value of hydroxychloroquine in treating Covid-19?","Basic science or clinical studies assessing the benefit and harms of treating Covid-19 with hydroxychloroquine.","covid-19 hydroxychloroquine antimalarial therapeutic efficacy adverse-effects","covid-19 hydroxychloroquine efficacy adverse-effects"
"29","coronavirus drug repurposing","which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?","Seeking information about protein-protein interactions for any of the SARS-CoV-2 structural proteins that represent a promising therapeutic target, and the drug molecules that may inhibit the virus and the host cell receptors at entry step.","covid-19 drug-repurposing sars-cov-2 ppi spike-protein host-receptor inhibitors","covid-19 repurposed-drugs ppi spike-inhibitors host-receptor"
"30","coronavirus remdesivir","is remdesivir an effective treatment for COVID-19","seeking specific information on clinical outcomes in COVID-19 patients treated with remdesivir","covid-19 remdesivir antiviral efficacy clinical-trials outcomes safety","covid-19 remdesivir antiviral clinical-outcomes"
"31","difference between coronavirus and flu","How does the coronavirus differ from seasonal flu?","Includes studies ranging from those focusing on genomic differences to global public health impacts, but must draw direct comparisons between COVID-19 and seasonal influenza.","covid-19 vs-influenza genomic-differences transmission mortality r0","covid-19 influenza comparison genomic-differences mortality"
"32","coronavirus subtypes","Does SARS-CoV-2 have any subtypes, and if so what are they?","Papers that discuss subtypes of the virus, from named subtypes to speculative subtypes based on genomic or geographic clustering.","sars-cov-2 subtypes variants lineages genomic-clustering phylogeny","sars-cov-2 subtypes lineages variants phylogeny"
"33","coronavirus vaccine candidates","What vaccine candidates are being tested for Covid-19?","Seeking studies that discuss possible, but specific, COVID-19 vaccines. Includes articles from those describing the mechanisms of action of specific proposed vaccines to actual clinical trials, but excluding articles that do not name a specific vaccine candidate.","covid-19 vaccine-candidates platform mrna vector-based subunit clinical-trials","covid-19 vaccine-candidates mrna subunit vector-based"
"34","coronavirus recovery","What are the longer-term complications of those who recover from COVID-19?","Seeking information on the health outcomes for those that recover from the virus. Excludes studies only focusing on adverse effects related to a particular COVID-19 drug.","covid-19 recovery long-term-effects sequelae pulmonary fatigue post-infection","covid-19 recovery long-term sequelae pulmonary fatigue"
"35","coronavirus public datasets","What new public datasets are available related to COVID-19?","Seeking articles that specifically release new data related to SARS-CoV-2 or COVID-19, including genomic data, patient data, public health data, etc. Articles that reference previously existing datasets are not relevant.","covid-19 public-datasets genomic-data patient-data epidemiological-release open-access","covid-19 new-datasets genomic-data patient-data"
"36","SARS-CoV-2 spike structure","What is the protein structure of the SARS-CoV-2 spike?","Looking for studies of the structure of the spike protein on the virus using any methods, such as cryo-EM or crystallography","sars-cov-2 spike-protein structure cryo-em crystallography fusion-domain receptor-binding-domain","sars-cov-2 spike-protein structure cryo-em rbd"
"37","SARS-CoV-2 phylogenetic analysis","What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?","Looking for a range of studies which provide the results of phylogenetic network analysis on the SARS-CoV-2 genome","sars-cov-2 phylogenetic-analysis genome evolution lineages clades mutational-pattern","sars-cov-2 phylogeny genome lineages clades"
"38","COVID inflammatory response","What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?","Looking for a range of studies which describes the inflammatory response cells and pathogenesis during the Coronavirus Disease 2019 (COVID-19) outbreak, including the mechanism of anti-inflammatory drugs, corticosteroids, and vitamin supplements","covid-19 inflammatory-response cytokines pathogenesis immune-cells corticosteroids therapies","covid-19 inflammation cytokines pathogenesis immune-cells"
"39","COVID-19 cytokine storm","What is the mechanism of cytokine storm syndrome on the COVID-19?","Looking for studies that describes mechanism of development of cytokine storm syndrome among COVID-19 cases and the range of drugs used for the therapy of cytokine storm","covid-19 cytokine-storm hyperinflammation il-6 tnf-alpha immunomodulators therapy","covid-19 cytokine-storm il-6 immunomodulators therapy"
"40","coronavirus mutations","What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?","Looking for studies that describes the emergence of genomic diversity of the coronavirus due to recurrent mutations which explore the potential genomic site of the mutation, mechanisms and its potential or observed clinical implications in the pathogenicity of the virus","sars-cov-2 mutations genomic-diversity spike-variants drift selection pathogenesis","sars-cov-2 mutations spike-variants pathogenesis diversity"
"41","COVID-19 in African-Americans","What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?","Looking for studies that analyze burden of illness and death among the African-American/black racial/ethnic group. This includes potential reasons for transmission, morbidity, and mortality. This may include discussion of other minority groups, but all studies should contain specific information on the health disparities faced by African-Americans in this pandemic.","covid-19 african-americans disparities mortality comorbidities socioeconomic factors","covid-19 african-americans disparities mortality comorbidities"
"42","Vitamin D and COVID-19","Does Vitamin D impact COVID-19 prevention and treatment?","This includes studies describing possible role of Vitamin D in prevention of COVID-19, suppression of cytokine storm, clinical outcomes, and associations between Vitamin D status and COVID-19 mortality.","vitamin-d covid-19 deficiency supplementation prevention immunity clinical-outcomes","covid-19 vitamin-d supplementation immunity outcomes"
"43","violence during pandemic","How has the COVID-19 pandemic impacted violence in society, including violent crimes?","Looking for analyses and data on how the pandemic is impacting rates of violence, including domestic/family violence related to quarantine.","covid-19 violence domestic-abuse quarantine lockdown mental-health social-impact","covid-19 violence domestic-abuse lockdown social-impact"
"44","impact of masks on coronavirus transmission","How much impact do masks have on preventing the spread of the COVID-19?","Looking for studies of how masks slow SARS-CoV-2 transmission, including impact on R0. Studies can include both lab and population studies.","covid-19 masks transmission reduction r0 community-intervention face-covering","covid-19 masks transmission r0 community-intervention"
"45","coronavirus mental health impact","How has the COVID-19 pandemic impacted mental health?","Includes increasing/decreasing rates of depression, anxiety, panic disorder, and other psychiatric and mental health conditions.","covid-19 mental-health depression anxiety stress pandemic psychological-impact","covid-19 mental-health depression anxiety stress"
"46","dexamethasone coronavirus","what evidence is there for dexamethasone as a treatment for COVID-19?","Looking for studies on the impact of dexamethasone treatment in COVID-19 patients, including health benefits as well as adverse effects. This also includes specific populations that are benefitted/harmed by dexamethasone.","covid-19 dexamethasone steroid therapy mortality reduction side-effects","covid-19 dexamethasone therapy mortality side-effects"
"47","COVID-19 outcomes in children","what are the health outcomes for children who contract COVID-19?","Looking for studies on health outcomes in children related to COVID-19. This includes studies attempting to explain the underlying biological mechanisms for why children differ from adults in response to infection.","covid-19 children outcomes pediatric infection severity immune-response multisystem-inflammatory","covid-19 children outcomes pediatric severity"
"48","school reopening coronavirus","what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?","With the possibility of schools re-opening while the COVID-19 pandemic is still ongoing, this topic is looking for evidence or projections on what the potential implications of this are in terms of COVID-19 cases, hospitalizations, or deaths, as well as other benefits or harms to re-opening schools. This includes both the impact on students, teachers, families, and the wider community.","covid-19 school-reopening transmission cases children teachers community risk-benefit","covid-19 school-reopening transmission risk children teachers"
"49","post-infection COVID-19 immunity","do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?","There is concern about re-infection for COVID-19, so this topic is looking for studies suggesting post-infection immunity, including post-infection antibody levels (over time) and evidence for individuals who have been infected more than once.","covid-19 post-infection immunity antibodies t-cells reinfection","covid-19 immunity antibodies t-cells reinfection"
"50","mRNA vaccine coronavirus","what is known about an mRNA vaccine for the SARS-CoV-2 virus?","Looking for studies specifically focusing on mRNA vaccines for COVID-19, including how mRNA vaccines work, why they are promising, and any results from actual clinical studies.","covid-19 mrna-vaccine spike-rbd immune-response clinical-trials novel-platform","covid-19 mrna-vaccine clinical-trials immune-response"
