number,query,question,narrative,qe_wide_search,qe_refine_search
1,coronavirus origin,what is the origin of COVID-19,"seeking range of information about the SARS-CoV-2 virus's origin, including its evolution, animal source, and first transmission into humans","SARS-CoV-2 coronavirus origin zoonosis bat reservoir pangolin intermediate host phylogenetic MERS-CoV Betacoronavirus evolution","SARS-CoV-2 origin zoonotic spillover phylogenetic analysis pangolin reservoir evolutionary host adaptation recombination"
2,coronavirus response to weather changes,how does the coronavirus respond to changes in the weather,"seeking range of information about the SARS-CoV-2 virus viability in different weather/climate conditions as well as information related to transmission of the virus in different climate conditions","SARS-CoV-2 climate weather temperature humidity seasonality transmission stability viability Betacoronavirus environmental factors","SARS-CoV-2 temperature humidity seasonality environmental factors viral persistence epidemiology climate effect"
3,coronavirus immunity,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,"seeking studies of immunity developed due to infection with SARS-CoV2 or cross protection gained due to infection with other coronavirus types","SARS-CoV-2 immunity immune response neutralizing antibodies T-cell cross-protection reinfection MERS-CoV immunological memory","SARS-CoV-2 immune response neutralizing antibodies T-cell cross-reactivity memory protective immunity cross-protection"
4,how do people die from the coronavirus,what causes death from Covid-19?,"Studies looking at mechanisms of death from Covid-19.","COVID-19 mortality fatal outcomes pathophysiology ARDS cytokine storm multiorgan failure pneumonia complications respiratory failure","COVID-19 fatal outcomes ARDS cytokine storm organ failure mortality risk factors disease severity pathophysiology"
5,animal models of COVID-19,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,"Papers that describe the results  of testing drugs that bind to spike proteins of the virus or any other drugs in any animal models. Papers about SARS-CoV-2 infection in cell culture assays are also relevant.","SARS-CoV-2 animal models coronavirus preclinical studies antiviral drugs spike protein cell culture in vivo MERS-CoV drug testing","SARS-CoV-2 animal models preclinical antiviral efficacy spike protein binding drug testing in vivo cell culture"
6,coronavirus test rapid testing,what types of rapid testing for Covid-19 have been developed?,"Looking for studies identifying ways to diagnose Covid-19 more rapidly.","SARS-CoV-2 rapid test diagnostic assays point-of-care RT-PCR antigen test LAMP detection sensitivity specificity","SARS-CoV-2 rapid diagnostics point-of-care RT-PCR antigen detection LAMP sensitivity specificity"
7,serological tests for coronavirus,are there serological tests that detect antibodies to coronavirus?,"Looking for assays that measure immune response to COVID-19 that will help determine past infection and subsequent possible immunity.","SARS-CoV-2 serological assays antibody detection ELISA immunoglobulin IgM IgG neutralizing antibodies seroconversion sensitivity specificity","SARS-CoV-2 serological tests ELISA immunoglobulin IgM IgG neutralizing antibodies seroconversion specificity reliability"
8,coronavirus under reporting,how has lack of testing availability led to underreporting of true incidence of Covid-19?,"Looking for studies answering questions of impact of lack of complete testing for Covid-19 on incidence and prevalence of Covid-19.","COVID-19 underreporting testing gaps surveillance bias incidence prevalence asymptomatic carriers limited testing","COVID-19 underreporting incidence prevalence testing limitations asymptomatic detection incomplete surveillance case ascertainment"
9,coronavirus in Canada,how has COVID-19 affected Canada,"seeking data related to infections (confirm, suspected, and projected) and health outcomes (symptoms, hospitalization, intensive care, mortality)","COVID-19 Canada epidemiology incidence prevalence mortality hospitalization ICU outcomes public health measures","COVID-19 Canada epidemiology hospitalization ICU mortality regional outbreak public health strategies"
10,coronavirus social distancing impact,has social distancing had an impact on slowing the spread of COVID-19?,"seeking specific information on studies that have measured COVID-19's transmission in one or more social distancing (or non-social distancing) approaches","COVID-19 social distancing transmission reduction R0 physical distancing mitigation pandemic containment community spread modeling","COVID-19 social distancing transmission control R0 modeling outbreak mitigation effectiveness compliance"
11,coronavirus hospital rationing,what are the guidelines for triaging patients infected with coronavirus?,"Seeking information on any guidelines for prioritizing COVID-19 patients infected with coronavirus based on demographics, clinical signs, serology and other tests.","COVID-19 triage guidelines resource allocation ventilator shortage clinical prioritization severity scoring hospitalization ICU","COVID-19 triage resource allocation severity index critical care prioritization ethical frameworks rationing"
12,coronavirus quarantine,what are best practices in hospitals and at home in maintaining quarantine?,"Seeking information on best practices for activities and duration of quarantine for those exposed and/ infected to COVID-19 virus.","COVID-19 quarantine isolation best practices exposure management infection control guidelines hospital home","COVID-19 quarantine protocols isolation guidelines duration infection control hospital community"
13,how does coronavirus spread,what are the transmission routes of coronavirus?,"Looking for information on all possible ways to contract COVID-19 from people, animals and objects","SARS-CoV-2 transmission routes respiratory droplets aerosols fomite contact person-to-person zoonotic spread airborne","SARS-CoV-2 transmission droplet aerosol fomite contact pathophysiology R0 airborne"
14,coronavirus super spreaders,what evidence is there related to COVID-19 super spreaders,"seeking range of information related to the number and proportion of super spreaders, their patterns of behavior that lead to spread, and potential prevention strategies targeted specifically toward super spreaders","COVID-19 super-spreaders high transmission events cluster outbreaks epidemiology behavior contact tracing prevention strategies","COVID-19 super-spreaders cluster events transmission dynamics targeted interventions epidemiological patterns"
15,coronavirus outside body,how long can the coronavirus live outside the body,"seeking range of information on the SARS-CoV-2's virus's survival in different environments (surfaces, liquids, etc.) outside the human body while still being viable for transmission to another human","SARS-CoV-2 viability surfaces environment stability survival external conditions contamination viral persistence","SARS-CoV-2 surface stability environmental factors viral persistence survival contamination infectivity"
16,how long does coronavirus survive on surfaces,how long does coronavirus remain stable  on surfaces?,"Studies of time SARS-CoV-2 remains stable after being deposited from an infected person on everyday surfaces in a household or hospital setting, such as through coughing or touching objects.","SARS-CoV-2 surface stability fomite transmission contamination viability duration environment materials","SARS-CoV-2 surface contamination stability viral persistence time factors material differences"
17,coronavirus clinical trials,are there any clinical trials available for the coronavirus,"seeking specific COVID-19 clinical trials ranging from trials in recruitment to completed trials with results","COVID-19 clinical trials interventions treatments randomized controlled recruitment drug efficacy vaccine outcomes","COVID-19 clinical trials RCT ongoing completed interventions outcomes vaccine therapy"
18,masks prevent coronavirus,what are the best masks for preventing infection by Covid-19?,"What types of masks should or should not be used to prevent infection by Covid-19?","COVID-19 masks respiratory protection surgical masks N95 filtration aerosol spread droplet prevention","COVID-19 masks N95 filtration aerosol containment infection prevention barrier efficacy"
19,what alcohol sanitizer kills coronavirus,what type of hand sanitizer is needed to destroy Covid-19?,"Studies assessing chemicals and their concentrations needed to destroy the Covid-19 virus.","SARS-CoV-2 hand sanitizer alcohol concentration ethanol isopropanol disinfectant viral inactivation hygiene virucidal potency","SARS-CoV-2 sanitizer alcohol concentration efficacy ethanol isopropanol virucidal potency recommended guidelines"
20,coronavirus and ACE inhibitors,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,"Looking for information on interactions between  coronavirus and  angiotensin converting enzyme 2 (ACE2) receptors, risk for patients taking these medications, and recommendations for these patients.","COVID-19 ACE inhibitors ACE2 receptors hypertension risk renin-angiotensin system ARBs cardiovascular RAAS","COVID-19 ACE2 inhibitors risk RAAS blockade hypertension cardiovascular outcomes recommendations"
21,coronavirus mortality,what are the mortality rates overall and in specific populations,"Seeking  information on COVID-19 fatality rates in different countries and in different population groups based on gender, blood types, or other factors","COVID-19 mortality fatality rate demographic differences comorbidity severity CFR global variation population groups","COVID-19 mortality rates demographics comorbidity case fatality risk disparities subpopulations"
22,coronavirus heart impacts,are cardiac complications likely in patients with COVID-19?,"Seeking information on the types, frequency and mechanisms of cardiac complications caused by coronavirus.","COVID-19 cardiac complications myocarditis arrhythmia myocardial injury troponin cardiomyopathy acute coronary disease","COVID-19 cardiac complications myocarditis arrhythmia myocardial injury pathophysiology risk severity"
23,coronavirus hypertension,what kinds of complications related to COVID-19 are associated with hypertension?,"seeking specific outcomes that hypertensive  (any type) patients are more/less likely to face if infected with the virus","COVID-19 hypertension risk complications severe outcomes blood pressure comorbidity pathophysiology severity","COVID-19 hypertension comorbidity severity complications management risk assessment outcomes"
24,coronavirus diabetes,what kinds of complications related to COVID-19 are associated with diabetes,"seeking specific outcomes that diabetic (any type) patients are more/less likely to face if infected with the virus","COVID-19 diabetes metabolic comorbidity hyperglycemia insulin resistance severe outcomes pathophysiology complications","COVID-19 diabetes comorbidity glycemic control risk severity complications management outcomes"
25,coronavirus biomarkers,which biomarkers predict the severe clinical course of 2019-nCOV infection?,"Looking for information on biomarkers that predict disease outcomes in people infected with coronavirus, specifically those that predict severe and fatal outcomes.","COVID-19 biomarkers prognosis CRP D-dimer ferritin IL-6 troponin severity prediction inflammatory markers","COVID-19 prognostic biomarkers CRP ferritin IL-6 D-dimer severity risk outcome"
26,coronavirus early symptoms,what are the initial symptoms of Covid-19?,"Studies of patients and the first clinical manifestations they develop upon active infection?","COVID-19 early symptoms fever cough fatigue anosmia dyspnea onset mild stage initial presentation","COVID-19 initial symptoms fever cough anosmia onset progression clinical presentation"
